,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
84,Synset('command.n.01'),Synset('command.n.02'),Synset('command.n.03'),Synset('command.n.04'),Synset('command.n.05'),Synset('command.n.06'),Synset('instruction.n.04'),Synset('command.v.01'),Synset('command.v.02'),Synset('command.v.03'),Synset('dominate.v.05'),Synset('control.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Synset('command.n.01'),Synset('command.n.02'),Synset('command.n.03'),Synset('command.n.04'),Synset('command.n.05'),Synset('command.n.06'),Synset('instruction.n.04'),Synset('command.v.01'),Synset('command.v.02'),Synset('command.v.03'),Synset('dominate.v.05'),Synset('control.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Synset('commend.v.01'),Synset('commend.v.02'),Synset('commend.v.03'),Synset('commend.v.04'),Synset('commend.v.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Synset('roll_up.v.02'),Synset('compose.v.04'),Synset('compile.v.03'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Synset('complete.v.01'),Synset('complete.v.02'),Synset('dispatch.v.02'),Synset('complete.v.04'),Synset('complete.v.05'),Synset('complete.a.01'),Synset('complete.s.02'),Synset('accomplished.s.01'),Synset('arrant.s.01'),Synset('complete.s.05'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Synset('comply.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Synset('comply.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Synset('grok.v.01'),Synset('perceive.v.01'),Synset('embrace.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Synset('grok.v.01'),Synset('perceive.v.01'),Synset('embrace.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Synset('grok.v.01'),Synset('perceive.v.01'),Synset('embrace.v.01'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Synset('agree.v.01'),Synset('concur.v.02'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Synset('behavior.n.01'),Synset('demeanor.n.01'),Synset('conduct.v.01'),Synset('conduct.v.02'),Synset('behave.v.02'),Synset('lead.v.01'),Synset('impart.v.03'),Synset('conduct.v.06'),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
